ascl_id	credit	described_in	citation_method
1210.026	Noble, Scott C.; Gammie, Charles F.; McKinney, Jonathan C.; Del Zanna, Luca	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006ApJ...641..626N";}	
1210.027	Husemann, B.; Kamann, S.; Sandin, C.; Sánchez, S. F.; García-Benito, R.; Mast, D.	a:1:{i:0;s:47:"http://esoads.eso.org/abs/2012A%26A...545A.137H";}	
1210.028	Moore, Alexander; Quillen, Alice C.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011NewA...16..445M";}	
1210.029	Gaburov, Evghenii; Harfst, Stefan; Portegies Zwart, Simon	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009NewA...14..630G";}	
1210.030	Wang, Sharon Xuesong; Wright, Jason T.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012ApJ...761...46W";}	
1210.031	Wright, Jason; Howard, Andrew	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009ApJS..182..205W";}	http://adsabs.harvard.edu/abs/2009ApJS..182..205W
1211.001	Leistedt, Boris; McEwen, Jason	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2013A%26A...558A.128L";}	Please see citation information here: http://astro-informatics.github.io/s2let/#referencing
1211.003	Diehl, Steven; Statler, Thomas S.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006MNRAS.368..497D";}	"We made use of the WVT binning algorithm by Diehl & Statler (2006), which is a generalization of Cappellari & Copin's (2003) Voronoi binning algorithm." and citations to 2006MNRAS.368..497D and 2003MNRAS.342..345C
1211.004	Statler, Thomas S.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1995AJ....109.1371S";}	
1211.005	Kwan, Juliana; Bhattacharya, Suman; Heitmann, Katrin; Habib, Salman	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013ApJ...768..123K";}	
1211.006	Cappellari, Michele; Copin, Yannick	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2003MNRAS.342..345C";}	
1212.001	Bédorf, Jeroen; Gaburov, Evghenii; Portegies Zwart, Simon	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012ASPC..453..325B";}	
1212.002	Getman, Konstantin; Feigelson, Eric; Broos, Patrick; Townsley, Leisa; Garmire, Gordon	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010ApJ...708.1760G";}	
1212.003	Groen, Derek; Rieder, Steven; Grosso, Paola; de Laat, Cees; Portegies Zwart, Simon	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2010CS%26D....3a5002G";}	
1212.004	Urban, J.; Baron, P.; Lautie, N.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2004JQSRT..83..529U";}	
1212.005	Skowron, J.; Gould, A.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012arXiv1203.1034S";}	
1212.006	Kilbinger, Martin; Benabed, Karim; Cappé, Olivier; Coupon, Jean; Cardoso, Jean-François; Fort, Gersende; McCracken, Henry Joy; Prunet, Simon; Robert, Christian P.; Wraith, Darren	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010MNRAS.405.2381K";}	
1212.007	Shamir, Lior	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2005PASA...22..111S";}	
1212.008	Ruiz Cobo, B.; del Toro Iniesta, J. C.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1992ApJ...398..375R";}	
1212.009	Hancock, P. J.; Murphy, T.; Gaensler, B. M.; Hopkins, A.; Curran, J. R.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2018PASA...35...11H";}	http://adsabs.harvard.edu/abs/2012MNRAS.422.1812H and http://adsabs.harvard.edu/abs/2018PASA...35...11H
1212.010	Kochukhov, Oleg	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2007pms..conf..109K";}	
1212.011	STSCI Development Team	a:1:{i:0;s:54:"https://ui.adsabs.harvard.edu/#abs/2013ASPC..475...49H";}	
1212.012	Hahn, Joseph M.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010ApJ...719.1699H";}	
1212.013	Liu, Teng; Tozzi, Paolo; Tundo, Elena; Moretti, A.; Wang, Jun-Xian; Rosati, Piero; Guglielmetti, Fabrizia	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2013A%26A...549A.143L";}	
1212.014	Bell, Nathan; Hoberock, Jared	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012ASPC..461...37B";}	
1212.015	Werner, Klaus; Dreizler, Stefan; Rauch, Thomas	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2003ASPC..288..103R";}	
1301.001	Bertin, Emmanuel	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011ASPC..442..435B";}	http://adsabs.harvard.edu/abs/2011ASPC..442..435B
1302.001	Wise, Michael W.; Davis, John E.; Huenemoerder, David P.; Houck, John C.; Dewey, Dan	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012SPIE.8443E..1AD";}	http://adsabs.harvard.edu/abs/2012SPIE.8443E..1AD
1302.002	Houck, John C.; Davis, John E.; Huenemoerder, David; Dewey, Dan; Nowak, Mike; Davis, David S.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2000ASPC..216..591H";}	http://adsabs.harvard.edu/abs/2000ASPC..216..591H
1302.003	Chiozzi, Gianluca; Šekoranja, Matej	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2002ASPC..281..103R";}	
1302.006	Skinner, M. Aaron; Ostriker, Eve C.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010ApJS..188..290S";}	http://adsabs.harvard.edu/abs/2010ApJS..188..290S
1302.007	Gong, Hao; Ostriker, Eve C.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011ApJ...729..120G";}	http://adsabs.harvard.edu/abs/2011ApJ...729..120G
1302.008	Béthermin, M.; Dole, H.; Cousin, M.; Bavouzet, N.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2010A%26A...516A..43B";}	http://adsabs.harvard.edu/abs/2010A%26A...516A..43B
1302.009	Bavouzet, Nicolas; Beelen, Alexandre; Bethermin, Matthieu; Dole, Herve; Ponthieu, Nicolas		http://adsabs.harvard.edu/abs/2010A%26A...516A..43B and Bavouzet, 2008, PhD Thesis Univ. Paris Sud 11 http://tel.archives-ouvertes.fr/tel-00363975/fr/
1302.010	Masci, Frank		http://adsabs.harvard.edu/abs/2009ASPC..411...67M
1302.011	Mucciarelli, A.; Pancino, E.; Lovisi, L.; Ferraro, F. R.; Lapenna, E.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013ApJ...766...78M";}	
1302.012	Freitag, Marc Dewi	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2001A%26A...375..711F";}	
1302.013	Selig, Marco; Bell, Michael R.; Junklewitz, Henrik; Oppermann, Niels; Reinecke, Martin; Greiner, Maksim; Pachajoa, Carlos; Ensslin, Torsten A.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2013A%26A...554A..26S";}	
1302.014	Bundy, Kevin; Hogg, David W.; Higgs, Tim D.; Nichol, Robert C.; Yasuda, Naoki; Masters, Karen L.; Lang, Dustin; Wake, David A.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012AJ....144..188B";}	
1302.015	Sousbie, Thierry	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011MNRAS.414..350S";}	http://adsabs.harvard.edu/abs/2011MNRAS.414..350S and http://adsabs.harvard.edu/abs/2011MNRAS.414..384S
1302.016	Bovy, Jo; Hennawi, Joseph F.; Hogg, David W.; Myers, Adam D.; Kirkpatrick, Jessica A.; Schlegel, David J.; Ross, Nicholas P.; Sheldon, Erin S.; McGreer, Ian D.; Schneider, Donald P.; Weaver, Benjamin A.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011ApJ...729..141B";}	Please see citation information here: http://www.sdss3.org/svn/repo/xdqso/tags/v0_6/doc/build/html/index.html#ack
1302.017	European Southern Observatory	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1992ASPC...25..120B";}	
1303.001	Levison, Harold F.; Duncan, Martin J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1994Icar..108...18L";}	
1303.002	Foreman-Mackey, Daniel; Conley, Alex; Meierjurgen Farr, Will; Hogg, David W.; Lang, Dustin; Marshall, Phil; Price-Whelan, Adrian; Sanders, Jeremy; Zuntz, Joe	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013PASP..125..306F";}	http://adsabs.harvard.edu/abs/2013PASP..125..306F
1303.003	Akeret, Joël; Seehars, Sebastian; Amara, Adam; Refregier, Alexandre; Csillaghy, André	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013A&C.....2...27A";}	http://adsabs.harvard.edu/abs/2013A&C.....2...27A
1303.006	Viti, Serena	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2017AJ....154...38H";}	http://adsabs.harvard.edu/abs/2017AJ....154...38H
1303.007	Bélanger, Geneviève; Boudjema, Fawzi; Pukhov, Alexander; Semenov, Andrei	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011CoPhC.182..842B";}	
1303.009	Möller, T.; Bernst, I.; Panoglou, D.; Muders, D.; Ossenkopf, V.; Röllig, M.; Schilke, P.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013A&A...549A..21M";}	
1303.010	Kjurkchieva, D.; Dimitrov, D.; Vladev, A.; Yotov, V.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013MNRAS.431.3654K";}	
1303.012	Huenemoerder, David; Nowak, Mike; Dewey, Dan; Schulz, Norbert; Mitschang, Arik	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010ASPC..434..329M";}	
1303.013	Khatri, Rishi; Sunyaev, Rashid	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012JCAP...09..016K";}	Please  refer to  Khatri & Sunyaev when using the templates and/or mathematica code (http://adsabs.harvard.edu/abs/2012JCAP...09..016K)
1303.014	Hurley, Jarrod R.; Tout, Christopher A.; Pols, Onno R.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2002MNRAS.329..897H";}	
1303.015	Hurley, Jarrod R.; Pols, Onno R.; Tout, Christopher A.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2000MNRAS.315..543H";}	
1303.016	Yamauchi, Chisato	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011PASP..123.1324Y";}	
1303.017	Friedel, Douglas	a:1:{i:0;s:54:"https://ui.adsabs.harvard.edu/#abs/2013A&C.....2...74F";}	
1303.019	Marganian, P.; Garwood, R. W.; Braatz, J. A.; Radziwill, N. M.; Maddalena, R. J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006ASPC..351..512M";}	
1303.020	Jeschke, Eric	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013ASPC..475..319J";}	
1303.022	Sotomayor-Beltran, C.; Sobey, C.; Hessels, J. W. T.; de Bruyn, G.; Noutsos, A.; Alexov, A.; Anderson, J.; Asgekar, A.; Avruch, I. M.; Beck, R.; Bell, M. E.; Bell, M. R.; Bentum, M. J.; Bernardi, G.; Best, P.; Birzan, L.; Bonafede, A.; Breitling, F.; Broderick, J.; Brouw, W. N.; Brueggen, M.; Ciardi, B.; de Gasperin, F.; Dettmar, R.-J.; van Duin, A.; Duscha, S.; Eisloeffel, J.; Falcke, H.; Fallows, R. A.; Fender, R.; Ferrari, C.; Frieswijk, W.; Garrett, M. A.; Griessmeier, J.; Grit, T.; Gunst, A. W.; Hassall, T. E.; Heald, G.; Hoeft, M.; Horneffer, A.; Iacobelli, M.; Juette, E.; Karastergiou, A.; Keane, E.; Kohler, J.; Kramer, M.; Kondratiev, V. I.; Koopmans, L. V. E.; Kuniyoshi, M.; Kuper, G.; van Leeuwen, J.; Maat, P.; Macario, G.; Markoff, S.; McKean, J. P.; Mulcahy, D. D.; Munk, H.; Orru, E.; Paas, H.; Pandey-Pommier, M.; Pilia, M.; Pizzo, R.; Polatidis, A. G.; Reich, W.; Roettgering, H.; Serylak, M.; Sluman, J.; Stappers, B. W.; Tagger, M.; Tang, Y.; Tasse, C.; ter Veen, S.; Vermeulen, R.; van Weeren, R. J.; Wijers, R. A. M. J.; Wijnholds, S. J.; Wise, M. W.; Wucknitz, O.; Yatawatta, S.; Zarka, P.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2013A%26A...552A..58S";}	
1303.023	STScI development Team		Lim, P. L., Diaz, R. I., & Laidler, V. 2015, PySynphot User’s Guide (Baltimore, MD: STScI), https://pysynphot.readthedocs.io/en/latest/ or http://adsabs.harvard.edu/abs/2013ascl.soft03023S
1303.024	Kurucz, Robert L.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2005MSAIS...8...14K";}	
1303.026	Brandt, Tim	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013ApJ...764..183B";}	
1303.027	Seikel, Marina; Clarkson, Chris; Smith, Mathew	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012JCAP...06..036S";}	http://adsabs.harvard.edu/abs/2012JCAP...06..036S
1303.028	Orlando, Elena; Strong, Andrew W.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013NuPhS.239..266O";}	
1303.030	Jonsson, Patrik	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006MNRAS.372....2J";}	
1304.001	Mighell, Kenneth J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013AJ....145..148M";}	
1304.002	Greenfield, Perry; Robitaille, Thomas; Tollerud, Erik; Aldcroft, Tom; Barbary, Kyle; Barrett, Paul; Bray, Erik; Crighton, Neil; Conley, Alex; Conseil, Simon; Davis, Matt; Deil, Christoph; Dencheva, Nadia; Droettboom, Michael; Ferguson, Henry; Ginsburg, Adam; Grollier, Frédéric; Moritz Günther, Hans; Hanley, Chris; Hsu, J. C.; Kerzendorf, Wolfgang; Kramer, Roban; Lian Lim, Pey; Muna, Demitri; Nair, Prasanth; Price-Whelan, Adrian; Shiga, David; Singer, Leo; Taylor, James; Turner, James; Woillez, Julien; Zabalza, Victor	a:2:{i:0;s:55:"https://ui.adsabs.harvard.edu/abs/2013A%26A...558A..33A";i:1;s:53:"https://ui.adsabs.harvard.edu/abs/2018AJ....156..123A";}	https://ui.adsabs.harvard.edu/abs/2013A%26A...558A..33A and https://ui.adsabs.harvard.edu/abs/2018AJ....156..123A
1304.003	Huertas-Company, Marc	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2008A%26A...478..971H";}	
1304.004	Thompson, Susan; Mullally, Fergal	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009JPhCS.172a2081T";}	
1304.005	Neyrinck, Mark; Hamilton, Andrew J. S.; Gnedin, Nickolay Y.	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2005MNRAS.356.1222N";i:1;s:49:"http://adsabs.harvard.edu/abs/2008MNRAS.386.2101N";}	
1304.007	Krumholz, Mark R.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2014MNRAS.437.1662K";}	
1304.008	Thoul, Anne	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1994ApJ...421..828T";}	
1304.011	Carrasco Kind, Matias; Brunner, Robert	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013MNRAS.432.1483C";}	
1304.012	Falck, Bridget	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012ApJ...754..126F";}	
1304.013	Rasera, Yann	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2006A%26A...445....1R";}	
1304.015	Pen, Ue-Li; Arras, Phil; Wong, ShingKwong	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2003ApJS..149..447P";}	
1304.016	Barber, C. Bradford; Dobkin, David P.; Huhdanpaa, Hannu	a:1:{i:0;s:63:"http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.117.405";}	
1304.017	Chluba, Jens; Thomas, Rajat Mani	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011MNRAS.412..748C";}	
1304.018	Chluba, Jens; Switzer, Eric; Nagai, Daisuke; Sazonov, Sergey; Nelson, Kaylea	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012MNRAS.426..510C";i:1;s:49:"http://adsabs.harvard.edu/abs/2013MNRAS.430.3054C";}	Please cite these papers: http://adsabs.harvard.edu/abs/2012MNRAS.426..510C http://adsabs.harvard.edu/abs/2013MNRAS.430.3054C
1304.022	Carlson, Jordan	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009PhRvD..80d3531C";}	http://adsabs.harvard.edu/abs/2009PhRvD..80d3531C
1305.002	Pontzen, Andrew; Roškar, Rok; Stinson, Greg; Woods, Rory		http://adsabs.harvard.edu/abs/2013ascl.soft05002P
1305.003	Bode, Paul	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2000ApJS..128..561B";}	
1305.004	Colombi, S.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2004MNRAS.352..376A";}	
1305.005	Stadel, Joachim	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2001PhDT........21S";}	
1305.007	Monaco, Pierluigi; Theuns, Tom	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013MNRAS.433.2389M";}	
1305.008	Yang, Xiaolin; Wang, Jiancheng	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013ApJS..207....6Y";}	
1305.009	Jefferys, William; McArthur, Barbara; McCartney, James	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1987CeMec..41...39J";}	
1305.010	Gildas Team	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2005sf2a.conf..721P";}	
1305.011	Wood, Matthew A.; Dolence, J.	a:1:{i:0;s:54:"https://ui.adsabs.harvard.edu/#abs/2006PASP..118..442W";}	
1305.012	Bouchet, François R.; Doré, Olivier; Teyssier, Romain; Vibert, Didier	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2001A%26A...374..358D";}	
1305.013	Brown, Iain A.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013JCAP...06..003B";}	
1305.014	Hollis, M. D. J.; Tessenyi, M.; Tinetti, G.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013arXiv1305.2787H";}	
1305.015	Parkinson, Hannah; Cole, Shaun; Helly, John	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008MNRAS.383..557P";}	http://adsabs.harvard.edu/abs/2008MNRAS.383..557P and also acknowledge the "GALFORM Team" for making the code available
1306.001	Griffiths, Mike; Fedun, Viktor; Mumford, Stuart; Gent, Frederick	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2008A%26A...486..655S";}	
1306.002	Dolence, Joshua C.; Gammie, Charles F.; Moscibrodzka, Monika; Leung, Po Kin	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009ApJS..184..387D";}	
1306.003	Leung, Po Kin; Gammie, Charles F.; Noble, Scott C.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011ApJ...737...21L";}	
1306.004	Gouttebroze, P.; Labrosse, N.	a:2:{i:0;s:51:"http://adsabs.harvard.edu/abs/1993A%26AS...99..513G";i:1;s:49:"http://adsabs.harvard.edu/abs/2000SoPh..196..349G";}	
1306.005	Conroy, M. A.; Deponte, J.; Moran, J. F.; Orszak, J. S.; Roberts, W. P.; Schmidt, D.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1993ASPC...52..238C";}	
1306.006	Park, T.; Kashyap, V. L.; Siemiginowska, A.; van Dyk, D.; Zezas, A.; Heinke, C.; Wargelin, B. J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006ApJ...652..610P";}	http://adsabs.harvard.edu/abs/2006ApJ...652..610P
1306.009	Elahi, Pascal Jahan	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011MNRAS.418..320E";}	
1306.010	Hobson, M. P.; Maisinger, Klaus	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2002MNRAS.334..569H";}	
1306.011	Fendt, Chad; Wandelt, Benjamin	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2007ApJ...654....2F";}	
1306.013	Leung, Po Kin; Gammie, Charles F.; Noble, Scott C.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011ApJ...737...21L";}	
1306.014	Stone, James M.; Norman, Michael L.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1992ApJS...80..753S";}	
1306.015	McKinney, Jonathan C.; Gammie, Charles F.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2002ApJ...573..728M";}	
1306.016	Aldcroft, Tom	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006HEAD....9.1358A";}	
1307.001	Compiègne, M.; Verstraete, L.; Jones, A.; Bernard, J.-P.; Boulanger, F.; Flagey, N.; Le Bourlot, J.; Paradis, D.; Ysard, N.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2011A%26A...525A.103C";}	http://adsabs.harvard.edu/abs/2011A%26A...525A.103C
1307.002	Audren, Benjamin; Lesgourgues, Julien; Benabed, Karim; Prunet, Simon	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013JCAP...02..001A";}	http://adsabs.harvard.edu/abs/2013JCAP...02..001A
1307.004	Ringeval, Christophe	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006PhRvD..73f4035R";}	
1307.005	Wayth, Randall	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006MNRAS.372.1187W";}	
1307.007	Garrido, Julian; Soiland-Reyes, Stian; Ruiz, Jose Enrique; Sanchez, Susana	a:1:{i:0;s:54:"https://ui.adsabs.harvard.edu/#abs/2014A&C.....7....3R";}	https://ui.adsabs.harvard.edu/#abs/2014A&C.....7....3R and https://ui.adsabs.harvard.edu/#abs/2013ascl.soft07007G
1307.008	Cotton, Bill	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008PASP..120..439C";}	
1307.009	Kipping, David M.; Spiegel, David S.; Sasselov, Dimitar D.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013MNRAS.434.1883K";}	
1307.010	Reid, Beth	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011MNRAS.417.1913R";}	
1307.011	Peterson, John R.; Jernigan, J. Garrett	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2015ApJS..218...14P";}	
1307.012	Groves, Brent; Allen, Mark	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010NewA...15..614G";}	
1307.014	Massey, Richard; Refregier, Alexandre	a:2:{i:0;s:49:"http://adsabs.harvard.edu/abs/2005MNRAS.363..197M";i:1;s:49:"http://adsabs.harvard.edu/abs/2003MNRAS.338...35R";}	
1307.015	Massey, Richard; Stoughton, Chris; Leauthaud, Alexie; Rhodes, Jason; Koekemoer, Anton; Ellis, Richard; Shaghoulian, Edgar	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2010MNRAS.401..371M";}	
1307.016	Bernstein, Gary; Khushalani, Bharat	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2000AJ....120.3323B";}	
1307.017	Szydagis, M.; Barry, N.; Kazkaz, K.; Mock, J.; Stolp, D.; Sweany, M.; Tripathi, M.; Uvarov, S.; Walsh, N.; Woods, M.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011JInst...6P0002S";}	Please cite http://adsabs.harvard.edu/abs/2013JInst...8C0003S, http://adsabs.harvard.edu/abs/2006ITNS...53..270A, and https://www.sciencedirect.com/science/article/pii/S0168900203013688
1307.018	Bernstein, Gary	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2002PASP..114...98B";}	
1307.019	Carrillo, Rafael E.; McEwen, Jason D.; Wiaux, Yves	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2014MNRAS.439.3591C";}	Please see citation information here: http://basp-group.github.io/purify/#referencing
1307.020	Carrillo, R. E.; McEwen, J. D.; Van De Ville, D.; Thiran, J.-P.; Wiaux, Y.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013ISPL...20..591C";}	
1308.001	Vasiliev, Eugene	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013MNRAS.434.3174V";}	
1308.002	Vasiliev, Eugene; Merritt, David	a:1:{i:0;s:53:"https://ui.adsabs.harvard.edu/abs/2013ApJ...774...87V";}	
1308.003	Goldberg, Dave; Gott, J. Richard, III	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2006astro.ph..8501G";}	
1308.004	Marshall, P. J.; Hobson, M. P.; Gull, S. F.; Bridle, S. L.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2002MNRAS.335.1037M";}	
1308.005	Gray, Genetha A.; Kolda, Tamara G.		Please see citation information here: https://software.sandia.gov/appspack/version5.0/pagePubs.html#pagePubs_howtocite
1308.006	Vesperini, Enrico; Goldberg, David M.; McMillan, Stephen L. W.; Dura, James; Jones, Douglas	a:1:{i:0;s:45:"https://ieeexplore.ieee.org/document/4784395/";}	
1308.007	Thomas, R. C.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011PASP..123..237T";}	
1308.008	Thomas, R. C.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2011PASP..123..237T";}	
1308.009	Cordier, D.; Lebreton, Y.; Goupil, M.-J.; Lejeune, T.; Beaulieu, J.-P.; Arenou, F.	a:1:{i:0;s:51:"http://adsabs.harvard.edu/abs/2002A%26A...392..169C";}	
1308.010	Townsend, R. H. D.; Teitler, S.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013MNRAS.435.3406T";}	
1308.011	Kovacs, Attila	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2008SPIE.7020E..45K";}	
1308.012	Pontoppidan, Klaus; Dullemond, Kees	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009ApJ...704.1482P";}	
1308.013	Schirmer, Mischa	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013ApJS..209...21S";}	http://adsabs.harvard.edu/abs/2013ApJS..209...21S and http://adsabs.harvard.edu/abs/2005AN....326..432E
1308.014	Mewe, R.; Kaastra, J. S.; Nieuwenhuijzen, H.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/1996uxsa.coll..411K";}	http://adsabs.harvard.edu/abs/1996uxsa.coll..411K
1308.015	Yoachim, Peter	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2009AJ....137.4697Y";}	
1308.016	Mueller, Daniel; Dimitoglou, George; Caplins, Benjamin; Garcia Ortiz, Juan Pablo; Wamsler, Benjamin; Hughitt, Keith; Alexanderian, Alen; Ireland, Jack; Amadigwe, Desmond; Fleck, Bernhard	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2017arXiv170507628M";}	http://adsabs.harvard.edu/abs/2017arXiv170507628M
1308.017	Dere, Ken	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2012ApJ...744...99L";}	
1308.018	Deen, Casey	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2013AJ....146...51D";}	
1309.002	Deeg, Hans J.	a:1:{i:0;s:49:"http://adsabs.harvard.edu/abs/2001phot.work...85D";}	
