ascl_id	credit	num_commas	num_semicolons	num_citations
1011.023	Ali-Haïmoud, Yacine; Hirata, Christopher M.	2	1	104
1101.002	Price, Daniel J.	1	0	256
1101.003	Laursen, Peter	1	0	109
1101.004	Bouland, Adam; Easther, Richard; Rosenfeld, Katherine	3	2	3
1101.005	Piner, B. Glenn; Stone, James M.; Teuben, Peter	3	2	173
1101.006	Ziegler, U.	1	0	58
1101.007	Sharma, Sanjib; Bland-Hawthorn, Joss; Johnston, Kathryn V.; Binney, James	4	3	179
1101.008	van der Holst, B.; Toth, G.; Sokolov, I. V.; Powell, K. G.; Holloway, J. P.; Myra, E. S.; Stout, Q.; Adams, M. L.; Morel, J. E.; Drake, R. P.	10	9	67
1101.009	Bowyer, Jude; Jaffe, Andrew H.; Novikov, Dmitri I.	3	2	13
1101.010	Taylor, Mark	1	0	732
1102.001	Londrillo, Pasquale; Nipoti, Carlo	2	1	25
1102.002	Deb, Sanghamitra; Goldberg, David M.; Ramdass, Vede J.	3	2	17
1102.003	Keeton, Charles R.	1	0	256
1102.004	Kneib, Jean-Paul; Bonnet, Henri; Golse, Ghyslain; Sand, David; Jullo, Eric; Marshall, Phil	6	5	293
1102.005	Starck, Jean-Luc; Pires, Sandrine; Refregier, Alexandre	3	2	48
1102.006	Aarseth, Sverre J.	1	0	352
1102.007	Saha, Prasenjit; Williams, Liliya L. R.	2	1	65
1102.008	Merz, Hugh; Pen, Ue-Li; Trac, Hy	3	2	67
1102.009	Knollmann, Steffen R.; Knebe, Alexander	2	1	759
1102.010	Hubber, David; Batty, Chris; McLeod, Andrew; Whitworth, Anthony; Bisbas, Thomas; Stamatellos, Dimitrios; Walch, Stefanie; Rawiraswattana, Krisada; Goodwin, Simon	9	8	84
1102.011	Barnes, Joshua E.	1	0	16
1102.012	Rosolowsky, Erik; Leroy, Adam	2	1	152
1102.013	Collaborative Effort	0	0	3
1102.014	Collaborative Effort	0	0	212
1102.015	Merz, Hugh; Pen, Ue-Li; Trac, Hy	3	2	67
1102.016	Audit, Edouard; González, Matthias; Vaytet, Neil; Fromang, Sebastien; Hennebelle, Patrick; Teyssier, Romain; Tremblin, Pascal; Thooris, Bruno	8	7	133
1102.017	Masset, Frederic	1	0	360
1102.018	Gooch, Richard	1	0	174
1102.019	Eisenstein, Daniel; Hut, Piet	2	1	272
1102.020	N-Body Shop	0	0	83
1102.021	Pound, Marc W.; Wolfire, Mark G.; Mundy, Lee G.; Teuben, Peter; Lord, Steve	5	4	3
1102.022	Pound, M. W.; Wolfire, M. G.	2	1	199
1102.023	Mesinger, Andrei; Furlanetto, Steven; Cen, Renyue	3	2	529
1102.024	Deller, A. T.; Brisken, W. F.; Phillips, C. J.; Morgan, J.; Alef, W.; Cappallo, R.; Middelberg, E.; Romney, J.; Rottmann, H.; Tingay, S. J.; Wayth, R.	11	10	207
1102.025	Lewis, Antony	1	0	119
1102.028	Hayes, John C.; Norman, Michael L.; Fiedler, Robert A.; Bordner, James O.; Li, Pak Shing; Clark, Stephen E.; Ud-Doula, Asif; Mac Low, Mordecai-Mark	8	7	219
1103.001	Shepherd, Martin	1	0	392
1103.002	Pearson, Tim	1	0	1
1103.003	Barnes, D. G.; Fluke, C. J.; Bourke, P. D.; Parry, O. T.	4	3	36
1103.004	Price, Daniel J.	1	0	433
1103.005	Dolag, Klaus; Reinecke, Martin; Gheller, Claudio; Rivi, Marzia; Krokos, Mel; Jin, Zhefan	6	5	26
1103.006	Doroshkevich, A. G.; Naselsky, P. D.; Verkhodanov, O. V.; Novikov, D. I.; Turchaninov, V. I.; Novikov, I. D.; Christensen, P. R.; Chiang, L.-Y.	8	7	120
1103.008	Skory, Stephen; Turk, Matthew J.; Norman, Michael L.; Coil, Alison L.	4	3	513
1103.009	Altay, Gabriel; Croft, Rupert A. C.; Pelupessy, I.	3	2	54
1103.010	Couchman, Hugh; Pearce, Frazer; Thomas, Peter	3	2	89
1103.011	Couchman, Hugh; Pearce, Frazer; Thomas, Peter	3	2	252
1103.015	Morisset, Christophe	1	0	39
1104.001	Barbey, Nicolas; Guennou, Chloé; Auchère, Frédéric	3	2	12
1104.002	Cunningham, Andrew J.; Frank, Adam; Varniere, Peggy; Mitran, Sorin; Jones, Thomas W.	5	4	80
1104.003	Leitherer, Claus; Schaerer, Daniel; Goldader, Jeff; Gonzalez-Delgado, Rosa; Robert, Carmelle; Foo Kune, Denis; de Mello, Duilia; Devost, Daniel; Heckman, Timothy M.; Aloisi, Alessandra; Martins, Lucimara; Vazquez, Gerardo	12	11	2902
1104.004	Popescu, Bogdan; Hanson, M. M.	2	1	35
1104.007	Koleva, Mina; Prugniel, Philippe; Bouchard, Antoine; Wu, Yue	4	3	397
1104.009	Charignon, Camille; Kostka, Mathew; Konin, Nico; Jaikumar, Prashanth; Ouyed, Rachid	5	4	6
1104.010	Peng, Chien Y.; Ho, Luis C.; Impey, Chris D.; Rix, Hans-Walter	4	3	802
1104.011	Stetson, Peter B.	1	0	4441
1104.012	Gagunashvili, Nikolai	1	0	4
1104.013	Mitran, Sorin	1	0	78
1104.014	Peek, J. E. G.; Graves, Genevieve J.	2	1	51
1105.001	Taylor, Mark	1	0	142
1105.002	Riffel, Rogério; Borges Vale, Tibério	2	1	4
1712.008	Coss, David	1	0	0
1105.004	Cameron, R.; Gizon, L.; Daiffallah, K.	3	2	34
1105.005	N-Body Shop	0	0	46
1105.006	Hanasoge, Shravan M.	1	0	33
1105.007	Khomenko, E.	1	0	33
1105.008	Steiner, O.	1	0	53
1105.010	Almgren, A. S.; Beckner, V. E.; Bell, J. B.; Day, M. S.; Howell, L. H.; Katz, M; Lijewski, M. J.; Malone, C.; Nonaka, A.; Singer, M.; Zhang, W; Zingale, M.	12	11	225
1105.011	Shamir, Lior	1	0	29
1105.013	Challinor, Anthony; Lewis, Antony	2	1	264
1105.014	van Straten, Willem; Demorest, Paul; Khoo, Jonathan; Keith, Mike; Hotan, Aidan; et al.	5	5	35
1106.001	Arbey, Alexandre	1	0	40
1106.002	Prsa, Andrej; Matijevic, Gal; Latkovic, Olivera; Vilardell, Francesc; Wils, Patrick	5	4	621
1106.004	Sánchez, Sebastián F.	1	0	61
1106.005	Sánchez, Sebastián F.	1	0	97
1106.006	Devor, Jonathan; Charbonneau, David	2	1	13
1106.007	Sault, Robert J.; Teuben, Peter; Wright, Melvyn C. H	3	2	1473
1106.009	MacNeice, Peter; Olson, Kevin M.; Mobarry, Clark; de Fainchtein, Rosalinda; Packer, Charles	5	4	307
1106.010	da Cunha, Elisabete; Charlot, Stéphane	2	1	572
1106.012	da Silva, Robert L.; Fumagalli, Michele; Krumholz, Mark	3	2	103
1106.013	Hojjati, A.; Zhao, G.-B.; Pogosian, L.; Silvestri, A.	4	3	324
1106.014	Gazak, J. Zachary; Johnson, John A.; Tonry, John; Eastman, Jason; Mann, Andrew W.; Agol, Eric	6	5	71
1106.017	Carbillet, M.; Verinaud, C.; Femenia, B.; Riccardi, A.; Fini, L.	5	4	21
1106.018	Pogosian, Levon; Yadav, Amit; Ng, Bess; Vachaspati, Tanmay	4	3	40
1106.019	Li, Feng; Brown, Shea; Cornwell, Tim J.; de Hoog, Frank	4	3	52
1106.020	Blas, Diego; Lesgourgues, Julien; Tram, Thomas	3	2	574
1106.021	Foreman, Simon; Moss, Adam; Scott, Douglas	3	2	12
1106.023	Pogosian, Levon; Vachaspati, Tanmay	2	1	174
1106.024	Kachelriess, M.; Ostapchenko, S.; Tomas, R.	3	2	34
1106.025	Lewis, Antony; Bridle, Sarah	2	1	2400
1106.026	Seager, Sara; Sasselov, Dimitar D.; Scott, Douglas	3	2	366
1107.001	Blondin, Stéphane; Tonry, John L.	2	1	267
1107.002	Babusiaux, Carine; Sartoretti, Paola; Leclerc, Nicolas; Chéreau, Fabien	4	3	20
1107.003	Cui, Chenzhou; Fan, Dongwei; Zhao, Yongheng; Kembhavi, Ajit; He, Boliang; Cao, Zihuang; Li, Jian; Nandrekar, Deoyani	8	7	0
1107.005	Freeman, Peter; Nguyen, Dan; Doe, Stephen; Siemiginowska, Aneta	4	3	248
1107.007	Portegies Zwart, Simon	1	0	229
1107.008	Eggleton, P. P.; Tout, Christopher; Pols, Onno; Izzard, Rob; Eldridge, John; Lesaffre, Pierre; Stancliffe, Richard; Church, Ross; Lau, Herbert	9	8	602
1107.009	Ludwig, Marianne; Huege, Tim	2	1	61
1107.010	Ruschel-Dutra, Daniel; Riffel, Rogério; Ducati, Jorge Ricardo; Pastoriza, Miriani	4	3	1
1107.011	Schombert, James	1	0	21
1107.012	Brinch, C.; Hogerheijde, M. R.	2	1	156
1107.013	International Consortium Of Scientists	0	0	1148
1107.014	Williams, Jonathan P.; de Geus, Eugene J.; Blitz, Leo	3	2	673
1107.015	Kuepper, A. H. W.; Maschberger, Th.; Kroupa, P.; Baumgardt, H.	4	3	76
1107.016	Lorimer, D. R.	1	0	9
1107.018	Górski, K. M.; Hivon, Eric	2	1	2720
1108.002	Mandelbaum, Rachel; Hirata, Christopher M.; Leauthaud, Alexie; Massey, Richard J.; Rhodes, Jason	5	4	57
1108.004	Benson, Andrew	1	0	22
1108.005	Feng, Yu; Croft, Rupert A. C.; Di Matteo, Tiziana; Khandai, Nishikanta; Sargent, Randy; Nourbakhsh, Illah; Dille, Paul; Bartley, Chris; Springel, Volker; Jana, Anirban; Gardner, Jeffrey	11	10	10
1108.007	Fioc, Michel; Le Borgne, Damien; Rocca-Volmerange, Brigitte	3	2	200
1108.009	Arnouts, S.; Ilbert, O.	2	1	1365
1108.010	Bolzonella, Micol; Miralles, Joan-Marc; Pelló, Roser	3	2	1034
1108.011	Benítez, Narciso	1	0	808
1108.012	Laboratory For Computational Astrophysics	0	0	30
1108.016	Dullemond, C. P.	1	0	467
1108.017	Budaj, Jan; Richards, Mercedes	2	1	38
1108.019	Cranmer, Steven R.; Saar, Steven H.	2	1	155
1109.001	Ginsburg, Adam; Mirocha, Jordan	2	1	62
1109.002	Christensen-Dalsgaard, J.	1	0	251
1109.003	Baes, Maarten; Dejonghe, Herwig; Davies, Jonathan	3	2	96
1109.004	Asensio Ramos, Andrés; Trujillo Bueno, Javier; Landi Degl'Innocenti, E.	3	2	105
1109.005	Challinor, Anthony; Chon, Gayoung; Colombi, Stéphane; Hivon, Eric; Prunet, Simon; Szapudi, István.	6	5	115
1109.006	Feroz, F.; Hobson, M. P.; Bridges, M.	3	2	2228
1109.008	Copi, C. J.; Huterer, D.; Starkman, G. D.	3	2	280
1109.011	Kuijken, Konrad; Dubinski, John	2	1	0
1402.023	Lefor, Alan	1	0	3
1109.012	Sharma, Sanjib; Steinmetz, Matthias	2	1	49
1109.013	Townsend, R. H. D.	1	0	20
1109.014	Wang, Yun	1	0	306
1109.015	Mink, Jessica	1	0	40
1109.016	Space Telescope-European Coordinating Facility (Esa)	0	0	95
1109.017	Sabbey, Chris N.; McMahon, Richard G.; Lewis, James R.; Irwin, Mike J.; Babusiaux, Carine	5	4	14
1109.019	ESO's Data Management; Very Large Telescope (VLT) Project Divisions; Canadian Astronomical Data Center (CADC)	0	2	8
1109.020	Hillier, John	1	0	792
1109.021	Hubeny, Ivan; Lanz, Thierry	2	1	993
1109.023	Giocoli, Carlo; Meneghetti, Massimo; Bartelmann, Matthias; Moscardini, Lauro; Boldrin, Michele	5	4	39
1110.001	de Vries, Christopher H.; Myers, Philip C.	2	1	43
1110.002	Gondolo, Paolo; Edsjö, Joakim; Bergström, Lars; Ullio, Piero; Schelke, Mia; Baltz, Ted; Bringmann, Torsten; Duda, Gintaras	8	7	793
1110.003	Ryan, R. E., Jr.	2	0	2
1110.005	Feldmann, R.; Carollo, C. M.; Porciani, C.; Lilly, S. J.; Oesch, P.	5	4	203
1110.006	Bertin, Emmanuel	1	0	26
1110.007	Knödlseder, J.	1	0	26
1110.010	Ercolano, Barbara	1	0	135
1110.011	Dolag, K.; Vogt, C.; Ensslin, T. A.	3	2	31
1110.012	Various	0	0	98
1110.013	Stompor, Radek	1	0	12
1110.014	Grain, J.; Stompor, R.; Tristram, M.	3	2	55
1110.015	Kholupenko, E. E.; Ivanchik, A. V.; Balashev, S. A.; Varshalovich, D. A.	4	3	5
1110.016	Rein, Hanno; Liu, Shang-Fei	2	1	163
1110.017	Colombi, Stephane; Novikov, Dmitri	2	1	75
1110.018	Cantalupo, C. M.; Borrill, J. D.; Jaffe, A. H.; Kisner, T. S.; Stompor, R.	5	4	64
1110.019	Parkinson, David; Mukherjee, Pia; Liddle, Andrew	3	2	254
1110.023	Conley, Alex; Sullivan, Mark	2	1	171
1110.025	Pound, Marc; Teuben, Peter	2	1	6
1111.001	Herschel Science Ground Segment Consortium	0	0	616
1111.002	Mighell, Kenneth John	1	0	6
1111.004	Noll, Stefan; Burgarella, Denis; Giovannoli, Élodie; Serra, Paolo	4	3	340
1111.005	Dubernet, Marie-Lise; Nenadovic, Ljerka	2	1	4
1111.006	NASA/IPAC Infrared Science Archive; JPL; Caltech; NASA	0	3	237
1111.007	Sings Irs Team; Smith, J. D.; Armus, Lee; Bot, Caroline; Buckalew, Brent; Dale, Danny; Helou, George; Jarrett, Tom; Roussel, Helene; Sheth, Kartik	9	9	200
1111.009	Bonavita, M.; Chauvin, G.; Desidera, S.; Gratton, R.; Janson, M.; Beuzit, J. L.; Kasper, M.; Mordasini, C.	8	7	31
1111.010	Roll, John	1	0	8
1111.011	Leistedt, B.; Rassat, A.; Refregier, A.; Starck, J.-L.	4	3	28
1111.012	Computational Information Systems Laboratory At The National Center For Atmospheric Research	0	0	127
1111.013	Iwamuro, F.; Moritani, Y.; Yabe, K.; Sumiyoshi, M.; Kawate, K.; Tamura, N.; Akiyama, M.; Kimura, M.; Takato, N.; Tait, P.; Ohta, K.; Totani, T.; Suzuki, Y.; Tonegawa, M.	14	13	35
1111.014	Pál, András	1	0	50
1112.002	Mandel, Eric; Murray, Stephen S.; Roll, John	3	2	9
1112.003	Chojnacki, Mikolaj; Kisiel, Adam; Florkowski, Wojciech; Broniowski, Wojciech	4	3	126
1112.004	Biffi, Veronica; Dolag, Klaus; Boehringer, Hans; Lemson, Gerard	4	3	25
1112.005	Forbes, John; Krumholz, Mark R.; Burkert, Andreas	3	2	77
1112.006	Rehnberg, Morgan; Crawford, R.; Trueblood, M.; Mighell, K.	4	3	1
1112.007	Prasad, Jayanti; Chengalur, Jayaram	2	1	39
1112.009	Petiteau, Antoine	1	0	25
1112.010	Lanusse, F.; Rassat, A.; Starck, J.-L.	3	2	19
1112.012	Ness, Jan-Uwe; Wichmann, Rainer	2	1	41
1112.015	Demleitner, Markus	1	0	28
1112.018	Lewis, Mark	1	0	0
1112.019	Centre de Données Astronomiques de Strasbourg (Cds)	0	0	500
1201.001	Heggie, Douglas C.; Portegies Zwart, Simon; Hurley, Jarrod	3	2	8
1201.006	U. S. National Virtual Observatory (VAO)	0	0	2
1201.007	Bassett, Bruce A.; Fantaye, Yabebal; Hlozek, Renee; Kotze, Jacques	4	3	23
1201.009	Balan, Sreekumar Thaithara; Lahav, Ofer	2	1	21
1201.010	Rauch, Kevin P.; Hamilton, Douglas P.	2	1	31
1201.011	Whiting, Matthew	1	0	78
1201.012	Charbonnier, A.; Combet, C.; Maurin, D.	3	2	48
1201.013	Sibthorpe, Bruce	1	0	5
1201.014	Jaffe, Tess; Waelkens, Andre; Reinecke, M.; Kitaura, F. S.; Ensslin, T. A.	5	4	78
1201.016	Cooray, Asantha; Milosavljević, Miloš	2	1	81
1201.017	Friedman, Brett C.; Cooray, Asantha; Melchiorri, Alessandro	3	2	26
1202.001	Weigel, Bob; Wilson, Erik; Wiltberger, Mike	3	2	13
1202.003	Kaplan, George; Bartlett, Jennifer Lynn; Monet, Alice; Bangert, John; Puatua, Wendy; Harris, William; Fredericks, Amy; Barron, Eric G.; Barrett, Paul	9	8	5
1202.004	Koning, Arjan; Hilaire, Stephane; Duijvestijn, Marieke	3	2	130
1202.005	Swanson, Molly; Tegmark, Max; Hamilton, Andrew; Hill, Colin	4	3	132
1202.011	Lattimer, James M.; Swesty, F. Douglas	2	1	891
1202.012	Dimmelmeier, Harald; Novak, Jérôme; Cerdá-Durán, Pablo	3	2	167
1202.013	Valenti, J. A.; Piskunov, N.	2	1	541
1202.014	Benítez-Llambay, Alejandro	1	0	10
